"words" "occurence" "pval" "tscore"
"wouldnt" 1822 6.27990604578594e-09 -5.80991180256205
"greasy" 1716 6.64353927979917e-09 -5.80047568421997
"soul" 125 7.44626274248745e-09 5.78130934042103
"yuck" 130 8.56687817932111e-09 -5.75767082192999
"beat" 531 9.37081674707232e-09 5.74249817183607
"trash" 287 9.98011207588467e-09 -5.73181972022172
"0" 188 1.08463320665282e-08 -5.71768160127554
"perfection" 692 1.29301795242095e-08 5.6877213177318
"20" 2393 1.33522282037925e-08 -5.68222938721971
"poorly" 256 1.60004306360808e-08 -5.65119831785143
"mess" 752 1.97589344545046e-08 -5.61480766491495
"stop" 2986 2.55771533815826e-08 5.56998781078777
"back" 19644 3.00505698389788e-08 5.54182400806563
"dump" 97 3.30102366123727e-08 -5.52534789292298
"atmosphere" 5576 4.49695035406861e-08 5.47079098981612
"1010" 92 4.54452644621016e-08 5.46892485156886
"no_flavor" 243 5.083210030916e-08 -5.44902417434435
"didnt" 9528 5.10435784716903e-08 -5.44828529516312
"told" 4352 5.19697508690925e-08 -5.44508392657233
"money" 1826 5.43149097662931e-08 -5.43721866734841
"frozen" 1072 5.73407610731735e-08 -5.42754317593026
"sorry" 1013 6.15295004795763e-08 -5.41493569188087
"town" 2812 6.25849514779061e-08 5.411890219764
"downhill" 183 6.77991199820442e-08 -5.39753938312568
"no_my" 402 7.38950041522382e-08 -5.38205955516839
"attentive" 2371 7.64158237536105e-08 5.37601699513473
"helpful" 1213 8.02047608034378e-08 5.3672884337727
"notch" 482 8.97979004210498e-08 5.3468586053452
"inconsistent" 147 1.17195255895255e-07 -5.29841507883724
"would" 17031 1.2377823352698e-07 -5.28842125375933
"sent" 586 1.25048250522551e-07 -5.28655253509866
"smile" 497 1.53580092246718e-07 5.24879659154459
"well" 12074 1.56772357646033e-07 5.24500323661757
"star" 2252 1.69212964500263e-07 -5.2309001758942
"soon" 1570 1.78684219197844e-07 5.22082011833618
"horrendous" 81 2.18174506798875e-07 -5.18370649350606
"burned" 195 2.20017491598153e-07 -5.18213752829563
"no_so" 639 2.39136901330326e-07 -5.16657096880978
"satisfied" 487 2.4025644521128e-07 5.1656971497135
"dont" 195 2.54391167858795e-07 -5.1549909152149
"superb" 232 2.83987957151586e-07 5.13432007690526
"machine" 512 2.91604092087019e-07 -5.12933786436117
"sadly" 370 3.23137261457392e-07 -5.1099648232672
"no_friendly" 91 3.68124287199908e-07 -5.08527317575414
"no_great" 519 3.69232216362526e-07 -5.08470257564721
"polite" 561 4.13724864664595e-07 5.06305535557119
"exceptional" 361 4.20496478592895e-07 5.0599594079203
"salty" 986 4.77685330565273e-07 -5.03558077231532
"perfectly" 2228 5.13429658606935e-07 5.02173611373152
"no_disappoint" 324 5.93088535972304e-07 4.99395707296105
"pounder" 125 6.21135924365604e-07 -4.98502718139472
"must" 2311 6.77829820147684e-07 4.96810566525532
"no_fresh" 139 7.97674247130156e-07 -4.93642173489284
"barely" 820 8.03224577244779e-07 -4.93506807147166
"atrocious" 67 8.45318085796734e-07 -4.92508584220271
"no_busy" 292 9.05766387298643e-07 -4.91155789290158
"reasonably" 600 9.23787064242001e-07 4.90769300409881
"40" 686 1.08192008826183e-06 -4.87659057816277
"last" 4652 1.19303943936391e-06 -4.85725381418796
"cafeteria" 91 1.24757327262743e-06 -4.8483897804716
"no_going" 367 1.31540279875096e-06 -4.83787080548233
"guess" 1434 1.3903932659494e-06 -4.82683210689758
"no_or" 170 1.41871144773819e-06 -4.8228120145157
"point" 2206 1.44304866252489e-06 4.81941825069905
"business" 1957 1.48125080552137e-06 -4.81420049224121
"multiple" 782 2.02732519772941e-06 -4.75111599281855
"loud" 1489 2.16330229533026e-06 -4.73796934688115
"5" 4780 2.29303607940689e-06 4.72614621932164
"since" 4717 2.53988024685221e-06 4.70532460199056
"expensive" 1134 3.36536499212736e-06 -4.64756752334525
"no_sure" 1471 3.42324645909171e-06 -4.64404635943435
"real" 1558 3.70089038232873e-06 4.62791237123292
"made" 7020 3.81677316880097e-06 4.62151928101313
"ready" 1367 4.17403465401368e-06 4.60291944287218
"every" 4772 4.79028215324592e-06 4.57415817805851
"breath" 252 5.08183843133823e-06 4.56176677250579
"wow" 927 5.16754355638072e-06 4.55825361006496
"juicy" 1545 5.72139374584786e-06 4.53681207191443
"incorrect" 181 6.10611161438105e-06 -4.52305817750442
"disrespectful" 63 6.36359343906673e-06 -4.51430897410668
"free" 2563 6.56077311696645e-06 4.50783492454218
"kay" 70 7.45751129014661e-06 4.48056090320029
"no_disappointed" 269 8.55000389249075e-06 4.45128758944056
"suck" 153 9.09582124116402e-06 -4.43797845570639
"try" 9437 9.1517799330211e-06 4.43665738814887
"ruined" 206 1.00813158911545e-05 -4.41577333438987
"45" 1058 1.13236937889626e-05 -4.39056388649044
"medium" 2501 1.22355162371637e-05 -4.37369028022706
"accommodating" 573 1.23797386597484e-05 4.37113194812819
"f" 96 1.24074748491891e-05 -4.37064320434666
"no_order" 252 1.28874470384444e-05 -4.3623466777088
"happier" 73 1.35586720360102e-05 4.35122564664787
"terrace" 172 1.366607371226e-05 4.34949510846788
"garbage" 247 1.38594614084967e-05 -4.34641155376613
"eaten" 1282 1.44011583474898e-05 4.3379878128941
"seem" 1420 1.55530676081257e-05 -4.32103613300621
"fun" 2776 1.55649948294595e-05 4.32086695252337
"welcoming" 525 1.67065861458827e-05 4.30522029336595
"no_have" 1617 1.76028475659845e-05 -4.29363456253243
"25" 844 1.80828609063955e-05 -4.28765872492904
"unacceptable" 210 1.89345152914546e-05 -4.27741878752304
"no_cheese" 172 1.92319804646731e-05 -4.27394534475425
"save" 559 2.02176773035064e-05 -4.26279043841098
"professional" 327 2.07475208584605e-05 4.25700656990237
"lost" 503 2.20296708377607e-05 -4.24357236939194
"terribly" 118 2.21856878389845e-05 -4.24198873393277
"sat" 3132 2.43420546239056e-05 -4.22112346323318
"werent" 1407 2.50525226304712e-05 -4.21463298018626
"complaint" 852 2.62936950261878e-05 4.20370331709744
"locked" 98 2.77689873564399e-05 -4.19133298280668
"empty" 1436 2.8881992158977e-05 -4.18240730313596
"acknowledged" 232 2.8998092742079e-05 -4.18149515464757
"life" 1097 2.90653287430217e-05 4.18096849862917
"waitress" 5809 2.92669790946197e-05 -4.17939589878416
"smell" 419 3.04048527583577e-05 -4.17071052757744
"beware" 182 3.09642473550356e-05 -4.16655334834744
"food" 45764 3.12033087130625e-05 -4.16479847532157
"stupid" 165 3.21066257788842e-05 -4.15828087793141
"quit" 86 3.27567282944357e-05 -4.15369721262729
"pleasantly" 488 3.27656098850328e-05 4.15363519178484
"new" 5009 3.52492096267721e-05 4.13688940081407
"disgusted" 91 3.52899704549043e-05 -4.13662402804183
"visit" 4399 3.84012101972655e-05 4.11718121145733
"hate" 665 3.88689711304411e-05 -4.11438826696081
"authentic" 207 3.91386809005127e-05 4.11279232870245
"screaming" 142 3.96135224974646e-05 -4.11000777384031
"broken" 220 4.00299305448343e-05 -4.10759183237182
"line" 1989 4.20326671201101e-05 -4.09629555747965
"husband" 3098 4.49612899961313e-05 4.08066401365413
"screw" 222 4.73973015956456e-05 -4.06838085015391
"threw" 307 5.01514809854711e-05 -4.0551945505944
"fifteen" 108 5.05895730529756e-05 -4.0531606245647
"crap" 338 5.09753525281461e-05 -4.0513833458425
"attitude" 798 5.13917975165751e-05 -4.04947904361266
"30" 1548 5.2854262922865e-05 -4.04290546469034
"lovely" 413 5.52753593030428e-05 4.03239270319904
"no_what" 314 5.61099852360595e-05 -4.02886955268387
"disappoint" 192 5.90319879934374e-05 4.01691445495264
"need" 4221 6.09300057212938e-05 -4.00944561289518
"discount" 236 6.59939628417747e-05 3.99054714219314
"no_that" 657 6.93842404889198e-05 -3.9786474035254
"basic" 663 7.85941706017659e-05 -3.94890132081842
"ugh" 160 8.04711481223554e-05 -3.94324591742582
"hello" 545 8.47790794675103e-05 -3.93072356543686
"visiting" 1021 8.48571506550386e-05 3.93050222251366
"tough" 462 8.70883065583053e-05 -3.92425656179948
"alone" 668 9.05478072610791e-05 3.91486517286555
"boring" 254 9.2869240392252e-05 -3.90875145941522
"car" 1315 9.43902656677075e-05 3.9048234855383
"high" 2435 9.49170353576997e-05 -3.90347705355574
"leaving" 644 0.000103123449058932 -3.88336524327163
"smelled" 225 0.000103829807351351 -3.8817054700397
"king" 738 0.000105892564114753 -3.87691878167087
"flavor" 3625 0.000111617822221164 -3.86408013712817
"horribly" 84 0.000120939380625821 -3.84444962798676
"cardboard" 86 0.00012635053886602 -3.83369910781955
"dead" 298 0.000127724223370027 -3.83103908276803
"till" 231 0.000133590076795773 -3.81997555668174
"no_offer" 119 0.000135857913089496 -3.81582053566579
"tasted" 2958 0.000140230559779334 -3.80799040889187
"sonic" 383 0.000148835073526698 -3.7932317585818
"cook" 1175 0.000153045456253872 -3.78630050175777
"opening" 512 0.0001563729811467 3.78094847406863
"pizza" 5312 0.000157143601228433 3.77972429674852
"hard" 2670 0.000158766864650052 -3.77716402186283
"excited" 1001 0.000162114889344925 -3.77196028047422
"grease" 646 0.000169003069871582 -3.76156485008419
"no_care" 443 0.000174717495382355 -3.75323899053973
"city" 1194 0.000179725583986095 3.74615020909608
"efficient" 544 0.000181937793365052 3.74307786969594
"five" 2192 0.000194694394418901 3.72601832591773
"spend" 571 0.000196494960138311 -3.7236955153378
"able" 1662 0.000201518098453653 3.71731961683375
"dad" 340 0.000222567376030286 3.69212984916125
"inedible" 237 0.000224717645241777 -3.68968395184572
"tried" 4581 0.000229556496537709 -3.68425921296442
"right" 6561 0.000240329049272036 3.6725578084107
"no_meat" 62 0.000257495855863748 -3.65489080323402
"lived" 559 0.000264689509755881 3.64781405717357
"anywhere" 800 0.000280293786798919 3.63306333613814
"soso" 202 0.000280490461073379 -3.63288237886066
"divine" 111 0.000299544926662199 3.61589081954061
"500" 138 0.000300785210826295 -3.6148202231088
"gone" 1238 0.000312634231488842 -3.60479570823404
"no_wait" 409 0.00032134302145498 3.59765221336732
"no_longer" 323 0.000343540187936308 -3.58023315049179
"took" 6243 0.000345922077043649 -3.5784270024391
"literally" 1287 0.00034677510717591 -3.57778299171513
"memorial" 101 0.000355912566154375 3.57097593823033
"legit" 113 0.000379571689839505 3.55408241870916
"bistro" 353 0.000381122881436625 3.5530094962003
"learn" 213 0.00038828828045528 -3.54810573410895
"maybe" 3338 0.000403836072914751 -3.53774978292999
"manager" 4108 0.000414068680349324 -3.53113549609636
"store" 970 0.000439642140870065 -3.51524983933737
"quickly" 1894 0.000440403306645947 3.51479036757373
"porch" 440 0.00044350386621569 -3.51292636659181
"spoiled" 96 0.000446991678020368 -3.51084403852055
"slightly" 901 0.000448568012167099 3.50990789135837
"uncomfortable" 296 0.000455192302421694 -3.50600714984008
"name" 1917 0.0004571908373351 3.50484070402943
"purchase" 158 0.000461623817393265 -3.50227028271033
"brought" 2299 0.000492240879832103 3.48512141958699
"third" 444 0.000495709663135586 -3.48324169565029
"flavorless" 263 0.000519054799317637 -3.47090106191441
"send" 355 0.000519658422815658 -3.47058888935717
"stellar" 206 0.000521266456152268 3.46975891831212
"rip" 93 0.000538410268849808 -3.46105564042543
"tip" 1144 0.000582006253808734 3.440035546009
"personable" 250 0.00060153599719002 3.43109102729351
"received" 1329 0.000608487841291439 -3.42797225178344
"spot" 3763 0.000611242501260928 3.42674560602298
"unpleasant" 105 0.00064418599546486 -3.41246150583688
"little" 9107 0.000646711083212135 3.41139487329871
"sitting" 1814 0.000658340391654084 -3.40653195023477
"no_miss" 110 0.000751688654457875 3.37015919419443
"lukewarm" 218 0.000770617725322312 -3.3632989697646
"decided" 3025 0.000782131811305742 -3.35920219986592
"hamburger" 809 0.00079886919242219 -3.35334569985525
"someone" 2254 0.000799735912649846 -3.35304554063292
"deserve" 162 0.000822380486117733 3.34530844318144
"watered" 123 0.000830902070674715 -3.34244793043401
"apparently" 717 0.000863828945732618 -3.33164492532099
"review" 2618 0.000872305657115265 3.32892564290729
"limp" 173 0.000872872179429731 -3.32874478029814
"farm" 145 0.000875352530755414 3.32795420575905
"buy" 512 0.000889749441698314 -3.32340601271044
"talk" 887 0.000913591563542277 3.31602186557881
"doesnt" 2094 0.000913657861514141 -3.31600158259875
"6" 1585 0.000962965739356666 -3.30128156473452
"lousy" 91 0.000972030872470153 -3.29865155786942
"dog" 2993 0.00101521798609404 -3.28642568962125
"courteous" 275 0.00103330337058057 3.2814483902218
"enjoyable" 392 0.00104699653203804 3.27773322475677
"appreciate" 460 0.00107041936328584 3.27148124298306
"beautiful" 721 0.0010981173412974 3.26424942545603
"heat" 482 0.00110208786698651 -3.26322659560905
"street" 1842 0.00111807609604832 -3.2591421287581
"school" 742 0.00122787084502237 3.23246922380827
"holy" 228 0.00124039682734092 3.22956768909313
"no_serve" 118 0.00125008348287134 -3.22734235442645
"sure" 4362 0.00125114894369546 3.22709855684326
"water" 1874 0.00126128801839524 -3.22478808879499
"smiling" 121 0.00127451526543105 3.22179953843329
"em" 171 0.00129041148208828 3.21824561566901
"rubbery" 155 0.00133887816520937 -3.20765400036379
"friend" 3120 0.00139790461178672 3.19522240737669
"lackluster" 124 0.00141427444989214 -3.19186051160468
"rather" 1414 0.00147297793876091 -3.18009246157829
"surprisingly" 446 0.00150393259611277 3.17406009556771
"non" 223 0.00154009442098944 -3.1671561734385
"finally" 2836 0.00155154890671682 3.16500043510707
"hooked" 106 0.0015611000876802 3.16321407598813
"shack" 329 0.00160173078432033 3.15572565172022
"patio" 1851 0.00163810826792248 -3.14916802847647
"scratch" 148 0.00166247491600416 3.14485009259401
"first" 8769 0.00167795299457536 3.1421374152387
"overdone" 162 0.00169551876983262 -3.13908659734867
"charge" 839 0.00176009356505663 -3.128115658787
"piece" 831 0.00182942002439916 -3.11674192208082
"regret" 194 0.00187811480872924 3.10898749302476
"pool" 261 0.00189346685965694 -3.10658102221608
"birthday" 1005 0.00192982333659118 -3.10095276458963
"went" 9355 0.00201966540194297 -3.0874514115335
"lack" 664 0.00203200019236993 -3.08564097522556
"no_reason" 162 0.00206261819988764 -3.0811902366855
"no_at" 356 0.00211513319043573 -3.07369571912991
"give" 5435 0.00226509157355675 -3.05319756929412
"fountain" 216 0.00226712121494692 3.05292876415024
"priced" 1333 0.00227812996315314 -3.05147459831739
"huge" 3241 0.00237612912702375 3.03880606049629
"win" 192 0.00238231278026563 3.03802283062601
"dried" 275 0.0023927631328121 -3.03670339561992
"kind" 3180 0.00242849935210324 3.03223094867716
"mind" 993 0.00246632540907963 3.02756210560898
"truck" 284 0.00252120169899703 3.02090393189567
"sauce" 6924 0.0026851545255724 -3.00177262741635
"least" 2679 0.00277449293120029 -2.99179297260218
"course" 1352 0.00280893014600143 2.98802435171409
"shipwreck" 160 0.00283069858825101 2.98566383971704
"anniversary" 90 0.00283831283619497 2.98484208272469
"staffed" 206 0.00285150060490453 -2.98342356182637
"creative" 442 0.00290527667198005 2.9777005490079
"no_eat" 473 0.00291205202009234 -2.97698636788426
"refund" 235 0.00294025611589843 -2.97402961216811
"large" 3462 0.00300548983338264 2.9672888304472
"instead" 2343 0.00314308833234904 -2.95349733783719
"no_get" 908 0.00314540418846254 -2.95326996650608
"rare" 1349 0.00317640457499364 2.95024094465622
"no_hot" 109 0.00319013355302151 -2.94890809826634
"unlike" 240 0.00328994514897026 2.93937231231745
"week" 1800 0.00337692640383915 2.93127483385028
"no_quite" 191 0.00340529718780933 -2.92867472232124
"hold" 497 0.00341360004201076 -2.92791751689317
"treat" 576 0.00342001923154138 2.92733324670247
"better" 7774 0.00344860230326861 -2.92474369454785
"front" 1896 0.00352837258607909 -2.91761870384815
"salt" 973 0.00353045010401495 -2.91743510824444
"nope" 229 0.00354571161604711 -2.91608941459591
"no_for" 443 0.00356626854450045 -2.91428509972774
"company" 412 0.00365920083186187 -2.90624453839939
"affordable" 409 0.00372130258792749 2.90097433473286
"frequent" 342 0.00378087556129746 2.895993339071
"shut" 196 0.00396933389115435 -2.88069258104102
"receipt" 442 0.00400617226993443 -2.87777902441253
"earth" 178 0.00400982386321816 2.87749154556176
"cheesecake" 193 0.00411877481768942 -2.86902165706399
"crust" 685 0.00413792803471714 -2.86755373438539
"informed" 348 0.00437277364713312 -2.85003905785753
"no_problem" 261 0.00444542376924457 2.84479348562936
"ill" 3371 0.00445062995731004 -2.84442057219083
"fashioned" 1344 0.00459116734278849 2.8345004740988
