"words" "occurence" "pval" "tscore"
"summer" 1046 0.014845698646909 2.43618705668102
"lemonade" 340 0.0148688381792672 2.43562361464417
"killer" 181 0.0149162383395001 2.43447184042634
"thrown" 209 0.0149637047051108 -2.43332168448633
"however" 3709 0.0152612871913956 -2.42618334514752
"vegetable" 210 0.0153317739833139 2.42451049322681
"site" 172 0.0153344891717409 -2.4244461896216
"35" 489 0.0154643656345745 -2.42138197934452
"whenever" 401 0.0155538908494758 2.41928294741313
"step" 439 0.0158803476200945 -2.41171773780831
"cooking" 477 0.0165277240870353 -2.39711154697822
"post" 241 0.0167234882404569 -2.3927936748169
"downside" 278 0.0167566670952223 2.392066268123
"flat" 496 0.0168077452377609 -2.39094890890114
"busy" 4385 0.0168875125277306 2.38920990872574
"part" 1909 0.0170915278935437 -2.3847947678745
"mention" 798 0.0173943671059134 2.37832547202418
"closer" 317 0.0173983173516278 2.37824174103227
"prompt" 552 0.0180569475906492 2.36450880352077
"crack" 339 0.0184809081380606 2.35589926632287
"market" 460 0.0184925199329524 -2.35566590315117
"nicely" 573 0.0190228196288975 2.34514266518851
"refreshing" 300 0.0192393589631195 2.34091930295654
"no_too" 879 0.0192748982467895 2.34023012134414
"door" 1928 0.0193579453246653 -2.33862398292883
"coffee" 1718 0.0205867082917408 -2.31553663604848
"lunch" 6103 0.0210132630388339 2.30780276989028
"old" 4556 0.0210732638577076 -2.30672589457953
"whatever" 800 0.0213282258506666 2.30217950418742
"kudos" 168 0.0216798462332008 2.29598656862466
"carry" 317 0.0217389775081309 2.294953716069
"fruit" 386 0.0218366061836102 -2.29325376407253
"no_come" 455 0.0220978671963786 -2.28873689126847
"selection" 5097 0.0231615739419427 2.2708132345264
"surprise" 499 0.0233532226148153 2.26766022686769
"wedding" 203 0.0240250800892268 2.25678132446715
"toast" 1045 0.0242486181476434 2.25322021263563
"deliciousness" 119 0.0243383101802989 2.25179935427468
"apart" 425 0.0245041822467485 -2.24918360315992
"story" 425 0.0247207463006228 2.24579145080395
"stuck" 361 0.0254162512251872 -2.23506874574184
"immediately" 1069 0.025862703360864 2.22831879299271
"return" 1934 0.0259432400581547 2.22711189502366
"sub" 469 0.0259824795646802 -2.22652503723862
"patient" 250 0.0261942722136333 2.22337067661368
"seated" 3125 0.0271009221417182 -2.21011159481157
"pretty" 8657 0.0280560262229088 -2.19655175889197
"portion" 1419 0.0285956318202455 -2.18906585058904
"also" 13845 0.0287611921684932 2.18679344004967
"franchise" 226 0.0292235799404314 -2.18050602858963
"breakfast" 3634 0.0292811134026882 2.17972970608713
"fancy" 555 0.0296945580900034 2.17418920608446
"know" 4965 0.0299159599580421 2.17124946103372
"split" 996 0.0299997103350892 2.17014230882575
"overall" 3657 0.0300062353385749 -2.17005616205051
"original" 608 0.0302500109135399 2.16684917924824
"mouth" 724 0.0304926908067637 2.1636785927449
"no_to" 1358 0.0309899243797707 -2.15724940935816
"chance" 945 0.0311700930567869 -2.15494169204739
"got" 15089 0.0321018319943926 -2.14318687072617
"heaven" 388 0.032301790481161 2.14070238395342
"future" 580 0.032384949224913 2.1396730139583
"drink" 5865 0.0326466187825208 -2.1364486769814
"house" 2178 0.0328198609427141 -2.13432611462067
"agree" 323 0.0333530532738065 -2.12785309559936
"gluten" 519 0.0336494440928848 -2.12429307557324
"classic" 969 0.0342549021443601 2.11710333893282
"pound" 293 0.0345457065397675 2.1136886165317
"staple" 301 0.034637412930438 2.11261686273804
"cajun" 771 0.0350651007486261 2.10765034245348
"afternoon" 1024 0.035359701717295 2.10425928768159
"completely" 1249 0.0355125333446591 -2.10250958170697
"take" 5409 0.036309046124116 2.09349326812428
"call" 1363 0.0367944719695059 -2.08808073466896
"rub" 336 0.0372434939701384 2.08312799190648
"without" 2948 0.0372463892222337 -2.08309622242792
"no_really" 551 0.0390244894353033 -2.06397072107729
"area" 5620 0.0392765135099065 2.06132013847674
"sticky" 296 0.0410661838294409 -2.04290219741192
"twice" 1449 0.0419194195197723 -2.03435981805694
"craving" 695 0.0426742449627269 2.02692451683743
"nearly" 582 0.0433445065835329 -2.02041484671029
"brother" 275 0.0433815547577899 2.02005751717423
"salted" 326 0.0436215874476458 -2.01774862841666
"missing" 763 0.0443722157832464 -2.0105968745886
"clearly" 834 0.0445449493866668 -2.00896558887947
"homemade" 1262 0.045324646749777 2.00166791840388
"customer" 2514 0.0454588122674216 -2.00042287027876
"north" 545 0.0454989219030322 2.0000512565743
"next" 4769 0.0466809149363594 1.98922212459324
"ended" 1516 0.0491192880429984 -1.96759198613526
"slice" 545 0.0491831908560872 -1.9670373601483
"big" 4419 0.0498204186961917 1.96153954729702
"outdoor" 866 0.0507897966575264 -1.95328805831914
"care" 1510 0.0509508679905812 1.95192980295636
"paying" 662 0.0509899566153677 -1.95160072529245
"diner" 1002 0.0510823240292891 1.95082394504178
"half" 3600 0.0514644051760172 -1.94762320673855
"west" 519 0.0520709268049928 1.94258291401454
"anything" 3132 0.0531452330357166 1.93377452847485
"heart" 555 0.054276889434377 1.92465536136576
"receive" 400 0.0551781165040773 -1.91750586007285
"cow" 304 0.0555429134548107 1.91463955597422
"stopped" 2804 0.0568680995709505 1.90435744637388
"hostess" 1279 0.0574663744288492 -1.8997806532643
"start" 1476 0.0577268045527601 -1.89780073671536
"airport" 586 0.0582991317510336 1.89347557915624
"use" 1857 0.0589999597059225 1.88822710727952
"2" 5471 0.0600510853588081 -1.88045146282482
"away" 3612 0.0607446002205552 -1.87538280829492
"grab" 1244 0.0612261516336662 1.87189145596763
"custard" 461 0.0614675652166017 1.87014970688962
"black" 1152 0.0618133636408834 1.8676646833318
"table" 11536 0.0618618553390312 1.86731712627906
"really" 15941 0.0637180248595162 1.85417969947356
"tiny" 700 0.064380337991944 -1.84956855485483
"no_like" 894 0.0659133538264966 -1.83904374659641
"system" 342 0.066753601919056 -1.83336042949002
"sometimes" 1318 0.0670547715145346 1.83133770177596
"far" 2167 0.0699863695759887 1.81202901570267
"sausage" 1053 0.0709223434351252 -1.80600425061939
"fair" 647 0.0709628572219282 1.80574494350693
"chili" 1596 0.0713937256956211 1.80299466702019
"like" 21331 0.0720064208637307 -1.79910710372734
"worked" 645 0.0730120710296938 1.79278456285044
"beyond" 642 0.0731584210407482 1.79187040794996
"min" 802 0.0733161262056186 -1.79088699791816
"special" 3669 0.0743401191416873 -1.78454338072184
"menu" 12594 0.074370329685123 -1.78435731441539
"behind" 1302 0.0750014914561228 -1.78048404863451
"day" 6366 0.075779199136868 1.77574790789653
"wish" 1883 0.0770969846623958 1.76781252977127
"almost" 2733 0.0789466175890474 -1.75685888618144
"ketchup" 1074 0.0800085647576907 -1.7506640079901
"boneless" 393 0.0804178173600903 -1.74829446230583
"unique" 1376 0.0832581026943396 1.73211373775693
"gave" 2608 0.0878515740616092 -1.70686712514815
"people" 7940 0.0894356405068933 -1.69840786333302
"full" 2980 0.0928469343201729 1.68059255056003
"8" 1138 0.0938163114010914 -1.67562608570534
"top" 3613 0.0949071038251733 1.67008653826654
"seating" 2035 0.0966899040265417 1.66114147965911
"bathroom" 592 0.0999061633586435 -1.64533239772686
"cozy" 614 0.105718953462581 1.61776127416313
"two" 7262 0.108116584789454 -1.60673878699695
"dressing" 1305 0.108296611096218 -1.60591900485242
"knowledgeable" 475 0.108912313912292 1.60312341739651
"reason" 1833 0.10891846652793 -1.6030955447206
"extremely" 1793 0.113975517468211 -1.580595280996
"number" 1027 0.114711285533515 1.57738757369295
"loaded" 610 0.115395397399235 1.57441956210831
"supposed" 718 0.115975397440868 -1.57191405766436
"night" 8291 0.118004114560484 1.56322704908359
"watch" 1354 0.118993643409483 -1.55903232888353
"bigger" 438 0.120585564198695 1.55234101347352
"coupon" 366 0.121160274926342 -1.54994232313597
"4" 3259 0.127019702509024 -1.52598021942513
"buffet" 318 0.128060991286459 -1.52181245180855
"understand" 915 0.130355694399383 -1.51272004221585
"sweet" 3665 0.132348573564636 1.50492380067886
"fine" 1900 0.134803767290432 -1.49544299645814
"hash" 673 0.135531625153769 -1.49265802730164
"room" 2245 0.135891010412222 1.49128718688582
"blue" 1260 0.137796846663871 1.48406396595256
"choose" 1317 0.138673287989868 1.48076804346322
"opinion" 831 0.141703484648725 -1.4694949194559
"3" 4400 0.142581342721558 -1.46626370541565
"one" 19606 0.144274009031807 1.46007620997389
"enjoy" 2526 0.144706886659 1.45850278185004
"going" 6454 0.144847339347583 -1.45799303799307
"crowded" 1118 0.146011602315914 1.45378209769861
"soup" 2419 0.147193563053802 -1.44953335415284
"glass" 1496 0.152254653085621 -1.43162979044822
"beef" 3015 0.154297154877497 1.42453276154307
"strong" 446 0.158335561293087 1.41070800334896
"salad" 7862 0.16431259733864 -1.39072843656141
"bar" 14737 0.165418282909332 -1.38709275299837
"coming" 2661 0.171409588636319 1.36770378379952
"could" 8591 0.176349444618741 -1.35209572231245
"chicken" 9029 0.179911436891098 -1.3410423396645
"expect" 1671 0.192576834809057 -1.30300757596523
"come" 10404 0.197190004197171 1.28961210107044
"said" 7112 0.200469519876244 -1.28022815183073
"experience" 6765 0.201386791580274 1.27762357166991
"often" 1684 0.217623239265128 1.23288482454346
"looking" 3439 0.21911748168598 -1.22889016205354
"cant" 5076 0.222282624378902 1.22049270129308
"easy" 1056 0.225060905148718 1.21319191493324
"bit" 5214 0.226093104111324 1.21049590629476
"bartender" 2789 0.229572103990404 -1.20147322974105
"probably" 3744 0.232404680955662 -1.19419862293632
"go" 17544 0.240502482282559 1.17374260172554
"especially" 2352 0.243200093312005 1.16703614926659
"came" 11395 0.247453370368574 1.15656756725187
"working" 1555 0.2498496191465 -1.15072510304584
"thing" 4532 0.250222741533519 -1.14981889580811
"fried" 4276 0.251833810056395 1.14591686749034
"simple" 1310 0.255456400419151 -1.13720602589116
"side" 8178 0.270327435870378 1.10231830128635
"parking" 1948 0.272734532328094 1.09679634020569
"chip" 2890 0.279510726216546 1.08142821612518
"find" 3540 0.283592071219835 -1.07229388544647
"available" 1084 0.289191491395875 1.05990567074975
"small" 4675 0.293048121611114 -1.05146696181101
"inside" 3196 0.2932740187873 -1.05097499474767
"get" 19824 0.295102711064516 -1.04700172880043
"dish" 1392 0.302886640825418 -1.03027108013742
"long" 5162 0.310421390125388 -1.01434621585429
"youve" 506 0.330340186902403 0.973436249628114
"waiter" 1911 0.330953422084092 -0.972202594804644
"phone" 1030 0.373701195085561 -0.889568043817022
"boy" 1245 0.380835953107129 0.876363077996611
"service" 24132 0.383457375331435 -0.871549618849253
"family" 2751 0.38790362900094 0.863431233796597
"want" 5797 0.393103201852479 -0.854008960345784
"time" 27251 0.414651358162772 -0.815740901228719
"wait" 8981 0.416592497732952 0.812352324498968
"mac" 2420 0.434361977285072 0.781754096693583
"beer" 11671 0.438976016550332 -0.773928330352116
"bread" 2443 0.44057787460821 -0.771222525940068
"around" 6265 0.447014675673086 0.760406078031764
"say" 5953 0.452094570248946 -0.751932218411107
"enough" 3600 0.45287622413935 0.750633123232122
"many" 4966 0.47764530711304 -0.710099017675847
"fish" 2502 0.486060196322281 -0.696592770229117
"u" 13371 0.550418802025864 -0.597135823260717
"meat" 4046 0.568899832934853 -0.569675447849248
"cheese" 14541 0.588670258860886 0.540766714186937
"check" 3455 0.64610582024674 -0.459180893244257
"still" 6223 0.651551127125529 0.451610497789534
"place" 32720 0.712670250836655 0.36827386203086
"lot" 6465 0.746974241905052 0.322633005816055
"server" 6714 0.776175750068259 0.284307373700733
"bacon" 5417 0.81153107722369 0.238452285905475
"another" 5431 0.819271911887403 -0.228482465302238
"sandwich" 7061 0.82571635799244 0.220199661965388
"much" 7545 0.926883807266622 -0.0917665491592598
"even" 10165 0.929805753402891 -0.0880895783471721
